Ano,Região,Total
2013,Norte,30195.681624999997
2013,Nordeste,79693.88900000001
2013,Centro-Oeste,32755.448999999997
2013,Sudeste,240104.806
2013,Sul,80392.671
2014,Norte,32363.651
2014,Nordeste,80747.203893
2014,Centro-Oeste,34380.929
2014,Sudeste,242513.166
2014,Sul,84818.504
2015,Norte,33709.26337
2015,Nordeste,79213.9557
2015,Centro-Oeste,34855.48
2015,Sudeste,235775.40743
2015,Sul,82154.32796
2016,Norte,34265.4906
2016,Nordeste,79501.33531
2016,Centro-Oeste,34574.331999999995
2016,Sudeste,231012.73494
2016,Sul,82425.65801
2017,Norte,34510.27099999999
2017,Nordeste,79731.25533000001
2017,Centro-Oeste,35407.7396
2017,Sudeste,232514.73092
2017,Sul,84997.18167
2018,Norte,32436.03709
2018,Nordeste,80498.67310999999
2018,Centro-Oeste,36850.436809
2018,Sudeste,238806.07955000002
2018,Sul,87173.26747
2019,Norte,33086.639735000004
2019,Nordeste,83150.115432
2019,Centro-Oeste,38418.627977000004
2019,Sudeste,238451.05283
2019,Sul,89420.93743
2020,Norte,34719.97016
2020,Nordeste,81169.72624799999
2020,Centro-Oeste,38944.301974
2020,Sudeste,233031.87853400002
2020,Sul,88703.01279000001
2021,Norte,36478.75937100001
2021,Nordeste,87147.23086200001
2021,Centro-Oeste,39842.542593
2021,Sudeste,241274.2563
2021,Sul,92760.59079
2022,Norte,38156.530953999994
2022,Nordeste,88056.524404
2022,Centro-Oeste,40556.745372000005
2022,Sudeste,247910.89338999998
2022,Sul,94683.40883999999
2013,Total,463142.496625
2014,Total,474823.45389299997
2015,Total,465708.43446
2016,Total,461779.55085999996
2017,Total,467161.17852
2018,Total,475764.494029
2019,Total,482527.373404
2020,Total,476568.88970600005
2021,Total,497503.379916
2022,Total,509364.10296
